2021-06-14 23:10:03 EvalCallBack metricdict_values([0.73401695698169567]); eval_time6s
2021-06-14 23:13:07 EvalCallBack metricdict_values([0.7591403547787744]); eval_time5s
2021-06-14 23:16:12 EvalCallBack metricdict_values([0.76647851005005019]); eval_time5s
2021-06-14 23:19:21 EvalCallBack metricdict_values([0.7725617235058273]); eval_time6s
2021-06-14 23:22:39 EvalCallBack metricdict_values([0.77597810719460925]); eval_time6s
2021-06-14 23:27:30 AUC: 0.7759781071946092, eval time: 6.298489809036255s.
2021-06-15 15:10:06 EvalCallBack metricdict_values([0.69804140353996458]); eval_time2s
2021-06-15 15:11:25 EvalCallBack metricdict_values([0.74434487270529037]); eval_time2s
2021-06-15 15:12:47 EvalCallBack metricdict_values([0.75390002570963754]); eval_time2s
2021-06-15 15:14:10 EvalCallBack metricdict_values([0.75928018306115375]); eval_time3s
2021-06-15 15:15:31 EvalCallBack metricdict_values([0.76226169566260993]); eval_time2s
2021-06-15 15:19:41 AUC: 0.7622616956626099, eval time: 2.659849166870117s.
2021-06-15 15:23:30 EvalCallBack metricdict_values([0.70050098806180916]); eval_time0s
2021-06-15 15:23:45 EvalCallBack metricdict_values([0.73724944351822008]); eval_time0s
2021-06-15 15:23:59 EvalCallBack metricdict_values([0.74697620094400952]); eval_time0s
2021-06-15 15:24:14 EvalCallBack metricdict_values([0.75154236498176719]); eval_time0s
2021-06-15 15:24:29 EvalCallBack metricdict_values([0.75416885606346329]); eval_time0s
2021-06-15 15:24:45 EvalCallBack metricdict_values([0.75650689891418821]); eval_time0s
2021-06-15 15:25:01 EvalCallBack metricdict_values([0.75828295175629745]); eval_time0s
2021-06-15 15:25:17 EvalCallBack metricdict_values([0.75976187967224629]); eval_time0s
2021-06-15 15:25:33 EvalCallBack metricdict_values([0.76109327704181107]); eval_time0s
2021-06-15 15:25:49 EvalCallBack metricdict_values([0.76201748920193635]); eval_time0s
2021-06-15 15:27:15 AUC: 0.7620174892019363, eval time: 0.6104695796966553s.
2021-06-15 16:07:36 EvalCallBack metricdict_values([0.57308786652385924]); eval_time2s
2021-06-15 16:08:52 EvalCallBack metricdict_values([0.61269550687050844]); eval_time2s
2021-06-15 16:10:09 EvalCallBack metricdict_values([0.63981867391452252]); eval_time2s
2021-06-15 16:11:26 EvalCallBack metricdict_values([0.665637380597772]); eval_time2s
2021-06-15 16:12:42 EvalCallBack metricdict_values([0.69189259066407138]); eval_time2s
2021-06-15 16:13:59 EvalCallBack metricdict_values([0.71150483201753811]); eval_time2s
2021-06-15 16:15:15 EvalCallBack metricdict_values([0.72358220527399586]); eval_time2s
2021-06-15 16:16:32 EvalCallBack metricdict_values([0.73177079888725038]); eval_time2s
2021-06-15 16:17:49 EvalCallBack metricdict_values([0.73742598303006224]); eval_time2s
2021-06-15 16:19:06 EvalCallBack metricdict_values([0.74187126423718608]); eval_time2s
2021-06-15 16:29:33 EvalCallBack metricdict_values([0.66770268194347593]); eval_time3s
2021-06-15 16:30:50 EvalCallBack metricdict_values([0.73549667404994401]); eval_time2s
2021-06-15 16:32:06 EvalCallBack metricdict_values([0.7500604369606233]); eval_time2s
2021-06-15 16:33:22 EvalCallBack metricdict_values([0.75581422994142311]); eval_time2s
2021-06-15 16:34:38 EvalCallBack metricdict_values([0.75941236283128744]); eval_time2s
2021-06-15 16:35:54 EvalCallBack metricdict_values([0.76240493618761573]); eval_time3s
2021-06-15 16:37:12 EvalCallBack metricdict_values([0.76406520525114741]); eval_time3s
2021-06-15 16:38:28 EvalCallBack metricdict_values([0.76546432968759681]); eval_time2s
2021-06-15 16:39:47 EvalCallBack metricdict_values([0.76649088240883745]); eval_time3s
2021-06-15 16:41:05 EvalCallBack metricdict_values([0.76713556594500887]); eval_time2s
2021-06-15 16:42:23 EvalCallBack metricdict_values([0.76746431972061269]); eval_time2s
2021-06-15 16:43:42 EvalCallBack metricdict_values([0.7678950673773447]); eval_time2s
2021-06-15 16:45:01 EvalCallBack metricdict_values([0.76824419797015442]); eval_time2s
2021-06-15 16:46:22 EvalCallBack metricdict_values([0.7681538428934942]); eval_time2s
2021-06-15 16:47:44 EvalCallBack metricdict_values([0.76825962509856383]); eval_time3s
2021-06-15 16:51:39 EvalCallBack metricdict_values([0.69804140353996458]); eval_time3s
2021-06-15 16:53:01 EvalCallBack metricdict_values([0.74434487270529037]); eval_time3s
2021-06-15 16:54:22 EvalCallBack metricdict_values([0.75390002570963754]); eval_time2s
2021-06-15 16:55:43 EvalCallBack metricdict_values([0.75928018306115375]); eval_time2s
2021-06-15 16:57:04 EvalCallBack metricdict_values([0.76226169566260993]); eval_time2s
2021-06-15 16:58:25 EvalCallBack metricdict_values([0.76422537345648833]); eval_time2s
2021-06-15 16:59:47 EvalCallBack metricdict_values([0.76568274250357815]); eval_time2s
2021-06-15 17:01:09 EvalCallBack metricdict_values([0.76662964801265931]); eval_time2s
2021-06-15 17:02:30 EvalCallBack metricdict_values([0.76735874147234795]); eval_time2s
2021-06-15 17:03:53 EvalCallBack metricdict_values([0.76793101225919447]); eval_time2s
2021-06-15 17:05:20 EvalCallBack metricdict_values([0.7678568578413506]); eval_time2s
2021-06-15 17:06:47 EvalCallBack metricdict_values([0.76834273969436473]); eval_time2s
2021-06-15 17:08:14 EvalCallBack metricdict_values([0.7683623757411967]); eval_time2s
2021-06-15 17:09:38 EvalCallBack metricdict_values([0.76827868991083414]); eval_time2s
2021-06-15 17:11:01 EvalCallBack metricdict_values([0.76822703821774962]); eval_time2s
2021-06-15 17:12:24 EvalCallBack metricdict_values([0.7679832104332055]); eval_time2s
2021-06-15 17:13:48 EvalCallBack metricdict_values([0.7679319311209295]); eval_time2s
2021-06-15 17:15:10 EvalCallBack metricdict_values([0.76775314651470827]); eval_time2s
2021-06-15 17:16:33 EvalCallBack metricdict_values([0.76778168015859616]); eval_time2s
2021-06-15 17:17:54 EvalCallBack metricdict_values([0.76761711856481196]); eval_time2s
2021-06-15 17:19:09 AUC: 0.767617118564812, eval time: 2.66424560546875s.
2021-06-15 22:55:25 EvalCallBack metricdict_values([0.69804118932854475]); eval_time3s
2021-06-15 22:56:59 EvalCallBack metricdict_values([0.7443444900832985]); eval_time2s
